HDR,ROLLING SYSTEM DEMAND
VD,20191007000000,21848
VD,20191007000500,22110
VD,20191007001000,22134
VD,20191007001500,22142
VD,20191007002000,22049
VD,20191007002500,21962
VD,20191007003000,21861
VD,20191007003500,21941
VD,20191007004000,22022
VD,20191007004500,22153
VD,20191007005000,22158
VD,20191007005500,22165
VD,20191007010000,22139
VD,20191007010500,22371
VD,20191007011000,22380
VD,20191007011500,22350
VD,20191007012000,22312
VD,20191007012500,22291
VD,20191007013000,22178
VD,20191007013500,22203
VD,20191007014000,22175
VD,20191007014500,22137
VD,20191007015000,22142
VD,20191007015500,22090
VD,20191007020000,21937
VD,20191007020500,21651
VD,20191007021000,21611
VD,20191007021500,21634
VD,20191007022000,21617
VD,20191007022500,21573
VD,20191007023000,21577
VD,20191007023500,21635
VD,20191007024000,21577
VD,20191007024500,21357
VD,20191007025000,21325
VD,20191007025500,21364
VD,20191007030000,21397
VD,20191007030500,21450
VD,20191007031000,21509
VD,20191007031500,21461
VD,20191007032000,21311
VD,20191007032500,21474
VD,20191007033000,21521
VD,20191007033500,21577
VD,20191007034000,21539
VD,20191007034500,21505
VD,20191007035000,21506
VD,20191007035500,21603
VD,20191007040000,21641
VD,20191007040500,21838
VD,20191007041000,21997
VD,20191007041500,22007
VD,20191007042000,22014
VD,20191007042500,22010
VD,20191007043000,22255
VD,20191007043500,22634
VD,20191007044000,22670
VD,20191007044500,22844
VD,20191007045000,23228
VD,20191007045500,23556
VD,20191007050000,23847
VD,20191007050500,24569
VD,20191007051000,25275
VD,20191007051500,25712
VD,20191007052000,26172
VD,20191007052500,26481
VD,20191007053000,26823
VD,20191007053500,27426
VD,20191007054000,28129
VD,20191007054500,28595
VD,20191007055000,29024
VD,20191007055500,29660
VD,20191007060000,30458
VD,20191007060500,31525
VD,20191007061000,32351
VD,20191007061500,32880
VD,20191007062000,33338
VD,20191007062500,33697
VD,20191007063000,33881
VD,20191007063500,34104
VD,20191007064000,34359
VD,20191007064500,34575
VD,20191007065000,34713
VD,20191007065500,34850
VD,20191007070000,34905
VD,20191007070500,34882
VD,20191007071000,35299
VD,20191007071500,35687
VD,20191007072000,35771
VD,20191007072500,35573
VD,20191007073000,35458
VD,20191007073500,35378
VD,20191007074000,35308
VD,20191007074500,35302
VD,20191007075000,35310
VD,20191007075500,35296
VD,20191007080000,35354
VD,20191007080500,35357
VD,20191007081000,35453
VD,20191007081500,35511
VD,20191007082000,35554
VD,20191007082500,35573
VD,20191007083000,35564
VD,20191007083500,35682
VD,20191007084000,35695
VD,20191007084500,35639
VD,20191007085000,35649
VD,20191007085500,35803
VD,20191007090000,35757
VD,20191007090500,35827
VD,20191007091000,35854
VD,20191007091500,35789
VD,20191007092000,35703
VD,20191007092500,35769
VD,20191007093000,35773
VD,20191007093500,35698
VD,20191007094000,35627
VD,20191007094500,35535
VD,20191007095000,35442
VD,20191007095500,35412
VD,20191007100000,35218
VD,20191007100500,34990
VD,20191007101000,34915
VD,20191007101500,34929
VD,20191007102000,35032
VD,20191007102500,35093
VD,20191007103000,35007
VD,20191007103500,34936
VD,20191007104000,34910
VD,20191007104500,34980
VD,20191007105000,35071
VD,20191007105500,35067
VD,20191007110000,35082
VD,20191007110500,35101
VD,20191007111000,35176
VD,20191007111500,35191
VD,20191007112000,35228
VD,20191007112500,35238
VD,20191007113000,35252
VD,20191007113500,35209
VD,20191007114000,35106
VD,20191007114500,35068
VD,20191007115000,35003
VD,20191007115500,34952
VD,20191007120000,35000
VD,20191007120500,35113
VD,20191007121000,35175
VD,20191007121500,35108
VD,20191007122000,34936
VD,20191007122500,34838
VD,20191007123000,34879
VD,20191007123500,34839
VD,20191007124000,34976
VD,20191007124500,34920
VD,20191007125000,34921
VD,20191007125500,34892
VD,20191007130000,34934
VD,20191007130500,35270
VD,20191007131000,35479
VD,20191007131500,35526
VD,20191007132000,35441
VD,20191007132500,35345
VD,20191007133000,35311
VD,20191007133500,35272
VD,20191007134000,35202
VD,20191007134500,35170
VD,20191007135000,35158
VD,20191007135500,35058
VD,20191007140000,34943
VD,20191007140500,34825
VD,20191007141000,34687
VD,20191007141500,34721
VD,20191007142000,34719
VD,20191007142500,34744
VD,20191007143000,34923
VD,20191007143500,35091
VD,20191007144000,35405
VD,20191007144500,35585
VD,20191007145000,35890
VD,20191007145500,35895
VD,20191007150000,35642
VD,20191007150500,35496
VD,20191007151000,35575
VD,20191007151500,35608
VD,20191007152000,35828
VD,20191007152500,35919
VD,20191007153000,36075
VD,20191007153500,36183
VD,20191007154000,36467
VD,20191007154500,36690
VD,20191007155000,36877
VD,20191007155500,37017
VD,20191007160000,37031
VD,20191007160500,36993
VD,20191007161000,36985
VD,20191007161500,37105
VD,20191007162000,37261
VD,20191007162500,37397
VD,20191007163000,37322
VD,20191007163500,37549
VD,20191007164000,37498
VD,20191007164500,37582
VD,20191007165000,37665
VD,20191007165500,37717
VD,20191007170000,37749
VD,20191007170500,37709
VD,20191007171000,37675
VD,20191007171500,37624
VD,20191007172000,37565
VD,20191007172500,37555
VD,20191007173000,37600
VD,20191007173500,37739
VD,20191007174000,37773
VD,20191007174500,37815
VD,20191007175000,37930
VD,20191007175500,38027
VD,20191007180000,38110
VD,20191007180500,38063
VD,20191007181000,38185
VD,20191007181500,38237
VD,20191007182000,38170
VD,20191007182500,38057
VD,20191007183000,37705
VD,20191007183500,37693
VD,20191007184000,37409
VD,20191007184500,37105
VD,20191007185000,36887
VD,20191007185500,36636
VD,20191007190000,36353
VD,20191007190500,36858
VD,20191007191000,37145
VD,20191007191500,37057
VD,20191007192000,36699
VD,20191007192500,36421
VD,20191007193000,36228
VD,20191007193500,36050
VD,20191007194000,35838
VD,20191007194500,35695
VD,20191007195000,35481
VD,20191007195500,35024
VD,20191007200000,34498
VD,20191007200500,33823
VD,20191007201000,33090
VD,20191007201500,32685
VD,20191007202000,32404
VD,20191007202500,32145
VD,20191007203000,31931
VD,20191007203500,31671
VD,20191007204000,31233
VD,20191007204500,30905
VD,20191007205000,30631
VD,20191007205500,30184
VD,20191007210000,30180
VD,20191007210500,30169
VD,20191007211000,30083
VD,20191007211500,29941
VD,20191007212000,29802
VD,20191007212500,29515
VD,20191007213000,29258
VD,20191007213500,29036
VD,20191007214000,28745
VD,20191007214500,28321
VD,20191007215000,27711
VD,20191007215500,26940
VD,20191007220000,26480
VD,20191007220500,26117
VD,20191007221000,25862
VD,20191007221500,25378
VD,20191007222000,25160
VD,20191007222500,24857
VD,20191007223000,24631
VD,20191007223500,24441
VD,20191007224000,24319
VD,20191007224500,24261
VD,20191007225000,24084
VD,20191007225500,23847
VD,20191007230000,23647
VD,20191007230500,23584
VD,20191007231000,23449
VD,20191007231500,23442
VD,20191007232000,23392
VD,20191007232500,23239
VD,20191007233000,23047
VD,20191007233500,23091
VD,20191007234000,23048
VD,20191007234500,22955
